route,run,windows,windows_with_unboxed_frames,span_frames,boxed_frames,unboxed_frames,internal_gap_events,max_consecutive_unboxed_frames,detection_frame_fraction
TOP,1,5,2,855,839,16,7,7,0.9812865497076023
TOP,2,5,2,870,824,46,20,5,0.9471264367816092
TOP,3,5,3,865,800,65,26,6,0.9248554913294798
TOP,4,5,2,850,837,13,7,3,0.9847058823529412
TOP,5,5,3,855,803,52,27,10,0.9391812865497076
MID,1,3,2,534,514,20,10,8,0.9625468164794008
MID,2,3,3,532,512,20,14,2,0.9624060150375939
MID,3,3,2,529,517,12,10,2,0.9773156899810964
MID,4,3,3,526,443,83,40,8,0.8422053231939164
MID,5,3,3,568,485,83,38,9,0.8538732394366197
BOT,1,5,1,857,840,17,12,2,0.9801633605600933
BOT,2,5,2,866,779,87,39,8,0.8995381062355658
BOT,3,5,4,872,779,93,45,10,0.893348623853211
BOT,4,5,3,857,853,4,4,1,0.9953325554259043
BOT,5,5,1,856,854,2,1,2,0.9976635514018691
