test,route,run,marker,gap_id,first_unboxed_frame_0,last_unboxed_frame_0,unboxed_frames,preceding_detection_time,following_detection_time
QR_motioncap_brushless_Light_top_NoWind_test1,TOP,1,M2,1,503,503,1,1766434988.75,1766434989.04
QR_motioncap_brushless_Light_top_NoWind_test1,TOP,1,M4,1,933,933,1,1766435052.25,1766435052.52
QR_motioncap_brushless_Light_top_NoWind_test1,TOP,1,M4,2,975,976,2,1766435058.49,1766435058.93
QR_motioncap_brushless_Light_top_NoWind_test1,TOP,1,M4,3,1005,1005,1,1766435063.01,1766435063.3
QR_motioncap_brushless_Light_top_NoWind_test1,TOP,1,M4,4,1010,1010,1,1766435063.74,1766435064.03
QR_motioncap_brushless_Light_top_NoWind_test1,TOP,1,M4,5,1033,1035,3,1766435067.08,1766435067.67
QR_motioncap_brushless_Light_top_NoWind_test1,TOP,1,M4,6,1041,1047,7,1766435068.25,1766435069.55
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M2,1,483,484,2,1766435665.12,1766435665.55
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M2,2,496,497,2,1766435666.99,1766435667.43
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M2,3,548,548,1,1766435674.51,1766435674.8
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,1,935,935,1,1766435730.79,1766435731.07
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,2,957,958,2,1766435734.1,1766435734.54
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,3,963,963,1,1766435734.98,1766435735.26
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,4,965,966,2,1766435735.26,1766435735.7
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,5,984,984,1,1766435738.14,1766435738.44
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,6,986,989,4,1766435738.44,1766435739.15
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,7,992,992,1,1766435739.3,1766435739.59
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,8,1011,1015,5,1766435742.04,1766435742.91
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,9,1024,1024,1,1766435743.91,1766435744.21
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,10,1051,1052,2,1766435747.96,1766435748.39
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,11,1056,1056,1,1766435748.68,1766435748.97
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,12,1058,1062,5,1766435748.97,1766435749.84
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,13,1065,1065,1,1766435749.98,1766435750.27
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,14,1069,1072,4,1766435750.56,1766435751.28
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,15,1082,1082,1,1766435752.43,1766435752.71
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,16,1090,1094,5,1766435753.59,1766435754.45
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,M4,17,1097,1100,4,1766435754.6,1766435755.32
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M2,1,696,701,6,1766440717.32,1766440718.33
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M2,2,817,818,2,1766440735.07,1766440735.5
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,1,1123,1123,1,1766440779.92,1766440780.22
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,2,1126,1129,4,1766440780.35,1766440781.08
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,3,1131,1132,2,1766440781.08,1766440781.5
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,4,1134,1134,1,1766440781.5,1766440781.8
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,5,1138,1138,1,1766440782.08,1766440782.37
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,6,1140,1140,1,1766440782.37,1766440782.66
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,7,1147,1147,1,1766440783.4,1766440783.67
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,8,1165,1167,3,1766440785.98,1766440786.56
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,9,1176,1177,2,1766440787.56,1766440788.0
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,10,1194,1194,1,1766440790.17,1766440790.46
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,11,1198,1198,1,1766440790.75,1766440791.03
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,12,1200,1202,3,1766440791.03,1766440791.61
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,13,1207,1207,1,1766440792.04,1766440792.33
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,14,1209,1210,2,1766440792.33,1766440792.76
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,15,1225,1229,5,1766440794.64,1766440795.52
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,16,1235,1235,1,1766440796.09,1766440796.37
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,17,1237,1239,3,1766440796.37,1766440796.94
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,18,1244,1248,5,1766440797.38,1766440798.25
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,19,1271,1276,6,1766440801.28,1766440802.29
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,20,1282,1283,2,1766440802.87,1766440803.29
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,21,1285,1290,6,1766440803.29,1766440804.31
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M4,22,1293,1294,2,1766440804.46,1766440804.89
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M5,1,1445,1446,2,1766440826.5,1766440826.92
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,M5,2,1457,1457,1,1766440828.22,1766440828.51
QR_motioncap_brushless_Light_top_NoWind_test4,TOP,4,M2,1,773,773,1,1766441283.12,1766441283.39
QR_motioncap_brushless_Light_top_NoWind_test4,TOP,4,M4,1,1090,1091,2,1766441330.4,1766441330.84
QR_motioncap_brushless_Light_top_NoWind_test4,TOP,4,M4,2,1160,1161,2,1766441340.88,1766441341.32
QR_motioncap_brushless_Light_top_NoWind_test4,TOP,4,M4,3,1169,1170,2,1766441342.2,1766441342.63
QR_motioncap_brushless_Light_top_NoWind_test4,TOP,4,M4,4,1175,1177,3,1766441343.07,1766441343.65
QR_motioncap_brushless_Light_top_NoWind_test4,TOP,4,M4,5,1181,1182,2,1766441343.95,1766441344.38
QR_motioncap_brushless_Light_top_NoWind_test4,TOP,4,M4,6,1232,1232,1,1766441351.38,1766441351.66
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M2,1,488,488,1,1766441613.39,1766441613.68
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M2,2,498,498,1,1766441614.84,1766441615.13
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M2,3,560,560,1,1766441624.22,1766441624.51
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M2,4,563,563,1,1766441624.67,1766441624.94
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M2,5,565,565,1,1766441624.94,1766441625.23
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M2,6,631,631,1,1766441634.77,1766441635.06
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M2,7,636,636,1,1766441635.49,1766441635.78
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M4,1,918,919,2,1766441677.33,1766441677.76
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M4,2,921,921,1,1766441677.76,1766441678.07
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M4,3,923,923,1,1766441678.07,1766441678.34
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M4,4,925,925,1,1766441678.34,1766441678.63
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M4,5,928,928,1,1766441678.79,1766441679.06
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M4,6,968,968,1,1766441684.85,1766441685.13
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M4,7,976,979,4,1766441686.01,1766441686.72
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,M4,8,981,982,2,1766441686.72,1766441687.15
