test,route,run,unit_id,marker,first_detection_host_time,last_detection_host_time,endpoint_time_span_s,first_frame_index_0,last_frame_index_0,span_frames,boxed_frames,unboxed_frames,has_internal_unboxed_frame,gap_events,max_consecutive_unboxed_frames,retained_position_samples,detection_frame_fraction
QR_motioncap_brushless_Light_top_NoWind_test1,TOP,1,QR_motioncap_brushless_Light_top_NoWind_test1|M1,M1,1766434945.86,1766434971.87,26.009999990463257,208,387,180,180,0,False,0,0,180,1.0
QR_motioncap_brushless_Light_top_NoWind_test1,TOP,1,QR_motioncap_brushless_Light_top_NoWind_test1|M2,M2,1766434979.29,1766435004.78,25.490000009536743,437,610,174,173,1,True,1,1,173,0.9942528735632183
QR_motioncap_brushless_Light_top_NoWind_test1,TOP,1,QR_motioncap_brushless_Light_top_NoWind_test1|M3,M3,1766435012.79,1766435037.68,24.890000104904175,665,832,168,168,0,False,0,0,168,1.0
QR_motioncap_brushless_Light_top_NoWind_test1,TOP,1,QR_motioncap_brushless_Light_top_NoWind_test1|M4,M4,1766435045.69,1766435070.57,24.87999987602234,887,1055,169,154,15,True,6,7,154,0.9112426035502958
QR_motioncap_brushless_Light_top_NoWind_test1,TOP,1,QR_motioncap_brushless_Light_top_NoWind_test1|M5,M5,1766435078.57,1766435103.32,24.75,1108,1271,164,164,0,False,0,0,164,1.0
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,QR_motioncap_brushless_Light_top_NoWind_test2|M1,M1,1766435630.53,1766435656.61,26.079999923706055,245,423,179,179,0,False,0,0,179,1.0
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,QR_motioncap_brushless_Light_top_NoWind_test2|M2,M2,1766435664.11,1766435689.51,25.40000009536743,475,650,176,171,5,True,3,2,171,0.9715909090909091
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,QR_motioncap_brushless_Light_top_NoWind_test2|M3,M3,1766435697.31,1766435722.12,24.80999994277954,704,875,172,172,0,False,0,0,172,1.0
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,QR_motioncap_brushless_Light_top_NoWind_test2|M4,M4,1766435730.35,1766435755.32,24.97000002861023,931,1101,171,130,41,True,17,5,130,0.7602339181286549
QR_motioncap_brushless_Light_top_NoWind_test2,TOP,2,QR_motioncap_brushless_Light_top_NoWind_test2|M5,M5,1766435763.4,1766435788.19,24.789999961853027,1154,1325,172,172,0,False,0,0,172,1.0
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,QR_motioncap_brushless_Light_top_NoWind_test3|M1,M1,1766440679.86,1766440705.94,26.080000162124634,440,617,178,178,0,False,0,0,178,1.0
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,QR_motioncap_brushless_Light_top_NoWind_test3|M2,M2,1766440713.29,1766440738.53,25.240000009536743,667,840,174,166,8,True,2,6,166,0.9540229885057471
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,QR_motioncap_brushless_Light_top_NoWind_test3|M3,M3,1766440746.75,1766440771.42,24.670000076293945,896,1063,168,168,0,False,0,0,168,1.0
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,QR_motioncap_brushless_Light_top_NoWind_test3|M4,M4,1766440779.78,1766440805.03,25.25,1121,1296,176,122,54,True,22,6,122,0.6931818181818182
QR_motioncap_brushless_Light_top_NoWind_test3,TOP,3,QR_motioncap_brushless_Light_top_NoWind_test3|M5,M5,1766440813.1,1766440837.58,24.480000019073486,1352,1520,169,166,3,True,2,2,166,0.9822485207100592
QR_motioncap_brushless_Light_top_NoWind_test4,TOP,4,QR_motioncap_brushless_Light_top_NoWind_test4|M1,M1,1766441227.27,1766441253.13,25.860000133514404,399,572,174,174,0,False,0,0,174,1.0
QR_motioncap_brushless_Light_top_NoWind_test4,TOP,4,QR_motioncap_brushless_Light_top_NoWind_test4|M2,M2,1766441260.7,1766441286.01,25.30999994277954,621,792,172,171,1,True,1,1,171,0.9941860465116279
QR_motioncap_brushless_Light_top_NoWind_test4,TOP,4,QR_motioncap_brushless_Light_top_NoWind_test4|M3,M3,1766441294.18,1766441318.91,24.730000019073486,845,1011,167,167,0,False,0,0,167,1.0
QR_motioncap_brushless_Light_top_NoWind_test4,TOP,4,QR_motioncap_brushless_Light_top_NoWind_test4|M4,M4,1766441327.19,1766441352.09,24.899999856948853,1067,1236,170,158,12,True,6,3,158,0.9294117647058824
QR_motioncap_brushless_Light_top_NoWind_test4,TOP,4,QR_motioncap_brushless_Light_top_NoWind_test4|M5,M5,1766441360.12,1766441384.96,24.84000015258789,1288,1454,167,167,0,False,0,0,167,1.0
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,QR_motioncap_brushless_Light_top_NoWind_test5|M1,M1,1766441577.21,1766441603.15,25.94000005722046,240,417,178,178,0,False,0,0,178,1.0
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,QR_motioncap_brushless_Light_top_NoWind_test5|M2,M2,1766441610.65,1766441635.92,25.269999980926514,468,638,171,164,7,True,7,1,164,0.9590643274853801
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,QR_motioncap_brushless_Light_top_NoWind_test5|M3,M3,1766441644.29,1766441668.82,24.52999997138977,695,860,166,166,0,False,0,0,166,1.0
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,QR_motioncap_brushless_Light_top_NoWind_test5|M4,M4,1766441677.33,1766441702.02,24.69000005722046,917,1085,169,126,43,True,18,10,126,0.7455621301775148
QR_motioncap_brushless_Light_top_NoWind_test5,TOP,5,QR_motioncap_brushless_Light_top_NoWind_test5|M5,M5,1766441710.23,1766441734.88,24.65000009536743,1142,1312,171,169,2,True,2,1,169,0.9883040935672515
QR_motioncap_brushless_Light_mid_NoWind_test1,MID,1,QR_motioncap_brushless_Light_mid_NoWind_test1|M6,M6,1766432940.24,1766432967.06,26.819999933242798,199,383,185,183,2,True,2,1,183,0.9891891891891892
QR_motioncap_brushless_Light_mid_NoWind_test1,MID,1,QR_motioncap_brushless_Light_mid_NoWind_test1|M7,M7,1766432986.54,1766433011.99,25.450000047683716,515,688,174,156,18,True,8,8,156,0.896551724137931
QR_motioncap_brushless_Light_mid_NoWind_test1,MID,1,QR_motioncap_brushless_Light_mid_NoWind_test1|M8,M8,1766433030.6,1766433056.8,26.200000047683716,814,988,175,175,0,False,0,0,175,1.0
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,QR_motioncap_brushless_Light_mid_NoWind_test2|M6,M6,1766437053.91,1766437080.62,26.709999799728394,201,385,185,179,6,True,3,2,179,0.9675675675675676
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,QR_motioncap_brushless_Light_mid_NoWind_test2|M7,M7,1766437099.24,1766437125.45,26.210000038146973,512,685,174,161,13,True,10,2,161,0.9252873563218391
QR_motioncap_brushless_Light_mid_NoWind_test2,MID,2,QR_motioncap_brushless_Light_mid_NoWind_test2|M8,M8,1766437144.37,1766437170.46,26.09000015258789,814,986,173,172,1,True,1,1,172,0.9942196531791907
QR_motioncap_brushless_Light_mid_NoWind_test3,MID,3,QR_motioncap_brushless_Light_mid_NoWind_test3|M6,M6,1766439598.42,1766439624.83,26.40999984741211,261,438,178,176,2,True,2,1,176,0.9887640449438202
QR_motioncap_brushless_Light_mid_NoWind_test3,MID,3,QR_motioncap_brushless_Light_mid_NoWind_test3|M7,M7,1766439644.18,1766439669.8,25.619999885559082,565,738,174,164,10,True,8,2,164,0.9425287356321839
QR_motioncap_brushless_Light_mid_NoWind_test3,MID,3,QR_motioncap_brushless_Light_mid_NoWind_test3|M8,M8,1766439688.54,1766439714.75,26.210000038146973,865,1041,177,177,0,False,0,0,177,1.0
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,QR_motioncap_brushless_Light_mid_NoWind_test4|M6,M6,1766441950.82,1766441977.43,26.610000133514404,175,357,183,162,21,True,13,4,162,0.8852459016393442
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,QR_motioncap_brushless_Light_mid_NoWind_test4|M7,M7,1766441997.75,1766442022.25,24.5,497,663,167,111,56,True,21,8,111,0.6646706586826348
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,QR_motioncap_brushless_Light_mid_NoWind_test4|M8,M8,1766442041.73,1766442067.13,25.40000009536743,794,969,176,170,6,True,6,1,170,0.9659090909090909
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,QR_motioncap_brushless_Light_mid_NoWind_test5|M6,M6,1766442346.49,1766442376.83,30.33999991416931,210,420,211,196,15,True,10,4,196,0.9289099526066351
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,QR_motioncap_brushless_Light_mid_NoWind_test5|M7,M7,1766442396.14,1766442421.81,25.669999837875366,553,729,177,118,59,True,23,9,118,0.6666666666666666
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,QR_motioncap_brushless_Light_mid_NoWind_test5|M8,M8,1766442440.4,1766442466.67,26.269999980926514,857,1036,180,171,9,True,5,4,171,0.95
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,QR_motioncap_brushless_Light_bot_NoWind_test1|M10,M10,1766436168.57,1766436194.44,25.87000012397766,188,365,178,178,0,False,0,0,178,1.0
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,QR_motioncap_brushless_Light_bot_NoWind_test1|M11,M11,1766436202.02,1766436227.09,25.069999933242798,417,585,169,169,0,False,0,0,169,1.0
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,QR_motioncap_brushless_Light_bot_NoWind_test1|M12,M12,1766436235.11,1766436260.07,24.960000038146973,639,807,169,169,0,False,0,0,169,1.0
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,QR_motioncap_brushless_Light_bot_NoWind_test1|M13,M13,1766436268.5,1766436292.86,24.359999895095825,864,1028,165,148,17,True,12,2,148,0.896969696969697
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,QR_motioncap_brushless_Light_bot_NoWind_test1|M14,M14,1766436300.86,1766436326.87,26.009999990463257,1080,1255,176,176,0,False,0,0,176,1.0
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,QR_motioncap_brushless_Light_bot_NoWind_test2|M10,M10,1766439916.21,1766439942.13,25.920000076293945,208,386,179,179,0,False,0,0,179,1.0
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,QR_motioncap_brushless_Light_bot_NoWind_test2|M11,M11,1766439949.66,1766439974.79,25.12999987602234,438,607,170,154,16,True,11,5,154,0.9058823529411765
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,QR_motioncap_brushless_Light_bot_NoWind_test2|M12,M12,1766439982.88,1766440007.69,24.80999994277954,662,831,170,170,0,False,0,0,170,1.0
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,QR_motioncap_brushless_Light_bot_NoWind_test2|M13,M13,1766440016.06,1766440040.15,24.09000015258789,886,1051,166,95,71,True,28,8,95,0.572289156626506
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,QR_motioncap_brushless_Light_bot_NoWind_test2|M14,M14,1766440048.65,1766440074.58,25.929999828338623,1109,1289,181,181,0,False,0,0,181,1.0
QR_motioncap_brushless_Light_bot_NoWind_test3,BOT,3,QR_motioncap_brushless_Light_bot_NoWind_test3|M10,M10,1766440282.6,1766440308.37,25.769999980926514,214,390,177,172,5,True,4,2,172,0.9717514124293786
QR_motioncap_brushless_Light_bot_NoWind_test3,BOT,3,QR_motioncap_brushless_Light_bot_NoWind_test3|M11,M11,1766440315.88,1766440341.07,25.18999981880188,442,614,173,136,37,True,14,10,136,0.7861271676300579
QR_motioncap_brushless_Light_bot_NoWind_test3,BOT,3,QR_motioncap_brushless_Light_bot_NoWind_test3|M12,M12,1766440349.28,1766440374.07,24.789999961853027,669,840,172,169,3,True,3,1,169,0.9825581395348837
QR_motioncap_brushless_Light_bot_NoWind_test3,BOT,3,QR_motioncap_brushless_Light_bot_NoWind_test3|M13,M13,1766440382.28,1766440406.94,24.66000008583069,897,1067,171,123,48,True,24,5,123,0.7192982456140351
QR_motioncap_brushless_Light_bot_NoWind_test3,BOT,3,QR_motioncap_brushless_Light_bot_NoWind_test3|M14,M14,1766440414.86,1766440440.67,25.81000018119812,1122,1300,179,179,0,False,0,0,179,1.0
QR_motioncap_brushless_Light_bot_NoWind_test4,BOT,4,QR_motioncap_brushless_Light_bot_NoWind_test4|M10,M10,1766443044.63,1766443070.47,25.83999991416931,248,424,177,176,1,True,1,1,176,0.9943502824858758
