test,level,run,segment,marker,mode,comparison_role,geometry,n_samples,vt_rmse_3d_cm,visual_dispersion_3d_cm,kt_rmse_3d_cm,kalman_pos_std_3d_cm,rpy_std_deg,vk_rmse_3d_cm
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,original_static,reference,Open-side locations,178,4.85410167659897,3.44131245691081,2.98093688464702,2.87581997401765,4.90165349207553,4.04238792576105
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,attitude_absolute,reference,Open-side locations,178,4.69892834172264,3.07603918120597,2.98093688464702,2.87581997401765,4.90165349207553,3.79148438420396
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,attitude_run_centered,reference,Open-side locations,178,4.65451643481142,3.0763754931013,2.98093688464702,2.87581997401765,4.90165349207553,3.74266767848933
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,original_static,compared,Upper and lower boundaries,169,7.36408174172087,3.93820619812041,2.88682901952843,2.70538687751214,5.14410002259775,6.9861430025895
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,attitude_absolute,compared,Upper and lower boundaries,169,6.45775934711173,2.79549314112461,2.88682901952843,2.70538687751214,5.14410002259775,6.25840130087199
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,attitude_run_centered,compared,Upper and lower boundaries,169,6.40651184764312,2.79570034861599,2.88682901952843,2.70538687751214,5.14410002259775,6.20691173143539
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,original_static,reference,Open-side locations,169,6.72800652535066,3.19482134208073,3.22221906307972,3.05495488202156,3.87818387272235,6.31039261117621
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,attitude_absolute,reference,Open-side locations,169,7.10939103076879,3.19105779916575,3.22221906307972,3.05495488202156,3.87818387272235,6.73187429806524
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,attitude_run_centered,reference,Open-side locations,169,7.05812553608397,3.19142977378673,3.22221906307972,3.05495488202156,3.87818387272235,6.67928470200223
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,original_static,compared,Upper and lower boundaries,148,7.00946262148943,3.75774823112857,3.07520172122571,2.90832262340592,4.42812528736317,6.22070758054775
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,attitude_absolute,compared,Upper and lower boundaries,148,6.83282318172784,3.21190927722056,3.07520172122571,2.90832262340592,4.42812528736317,6.31942169987273
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,attitude_run_centered,compared,Upper and lower boundaries,148,6.78257788945216,3.21195402990332,3.07520172122571,2.90832262340592,4.42812528736317,6.2712460833879
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,original_static,reference,Open-side locations,176,5.92539837566851,2.80885589782843,1.95497673766423,1.70675574803996,3.84160408032115,5.52680720930396
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,attitude_absolute,reference,Open-side locations,176,5.68490629514954,2.17132798315482,1.95497673766423,1.70675574803996,3.84160408032115,5.42904136735219
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,attitude_run_centered,reference,Open-side locations,176,5.62884297101691,2.17087614767944,1.95497673766423,1.70675574803996,3.84160408032115,5.37446314916067
QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,1,10,original_static,reference,Open-side locations,179,3.04760693321874,2.78469207342967,2.43720391410811,2.26053318394574,4.57121689146917,2.66074172272837
QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,1,10,attitude_absolute,reference,Open-side locations,179,2.84665575379303,2.61959359950572,2.43720391410811,2.26053318394574,4.57121689146917,1.92249033298383
QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,1,10,attitude_run_centered,reference,Open-side locations,179,2.88382125844322,2.61955043894294,2.43720391410811,2.26053318394574,4.57121689146917,1.93730862250948
QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,2,11,original_static,compared,Upper and lower boundaries,154,3.97871566666371,3.63012214480994,2.92548354360133,2.70220480062416,5.35154236155977,3.28326904822622
QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,2,11,attitude_absolute,compared,Upper and lower boundaries,154,3.42682511224448,3.03575035612087,2.92548354360133,2.70220480062416,5.35154236155977,2.48382706084559
QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,2,11,attitude_run_centered,compared,Upper and lower boundaries,154,3.43836101296366,3.03442201405547,2.92548354360133,2.70220480062416,5.35154236155977,2.45055081523497
QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,3,12,original_static,reference,Open-side locations,170,3.53586417269576,2.89104546137588,2.67015410493116,2.42512856178937,3.69074179010956,3.31148880047742
QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,3,12,attitude_absolute,reference,Open-side locations,170,3.35805260211485,2.70807480230309,2.67015410493116,2.42512856178937,3.69074179010956,3.25218195010118
QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,3,12,attitude_run_centered,reference,Open-side locations,170,3.38389830416454,2.70674217027863,2.67015410493116,2.42512856178937,3.69074179010956,3.24088362585339
QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,4,13,original_static,compared,Upper and lower boundaries,95,3.54648097782428,3.40999186442735,3.12226815201773,2.92699971201333,3.44277027806865,2.53801256168452
QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,4,13,attitude_absolute,compared,Upper and lower boundaries,95,3.42344595817504,3.29263583406435,3.12226815201773,2.92699971201333,3.44277027806865,2.60701319319011
QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,4,13,attitude_run_centered,compared,Upper and lower boundaries,95,3.43541888241034,3.29236629390886,3.12226815201773,2.92699971201333,3.44277027806865,2.57507354761947
QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,5,14,original_static,reference,Open-side locations,181,2.8885093981588,2.68541833274877,2.05744411976791,1.75407001900623,4.15279244433789,2.44435981030879
QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,5,14,attitude_absolute,reference,Open-side locations,181,2.22511161223915,1.96536359530732,2.05744411976791,1.75407001900623,4.15279244433789,1.82656838000364
QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,5,14,attitude_run_centered,reference,Open-side locations,181,2.24650629643744,1.96478831711234,2.05744411976791,1.75407001900623,4.15279244433789,1.77736922397933
QR_motioncap_brushless_Light_bot_NoWind_test3,bot,3,1,10,original_static,reference,Open-side locations,172,4.02416114650266,3.69364836818422,3.16487247263431,3.11811218994763,4.81785967530624,3.0364928784072
QR_motioncap_brushless_Light_bot_NoWind_test3,bot,3,1,10,attitude_absolute,reference,Open-side locations,172,3.72794806940785,3.39037959593947,3.16487247263431,3.11811218994763,4.81785967530624,2.70454090185735
QR_motioncap_brushless_Light_bot_NoWind_test3,bot,3,1,10,attitude_run_centered,reference,Open-side locations,172,3.72866190771159,3.39060352870686,3.16487247263431,3.11811218994763,4.81785967530624,2.71203107295356
QR_motioncap_brushless_Light_bot_NoWind_test3,bot,3,2,11,original_static,compared,Upper and lower boundaries,136,4.23326979065657,3.73209058283282,2.45953575449516,2.19812508814424,5.97250214097828,3.71027743698025
QR_motioncap_brushless_Light_bot_NoWind_test3,bot,3,2,11,attitude_absolute,compared,Upper and lower boundaries,136,3.56449712520427,2.83554289346014,2.45953575449516,2.19812508814424,5.97250214097828,2.5819312289368
QR_motioncap_brushless_Light_bot_NoWind_test3,bot,3,2,11,attitude_run_centered,compared,Upper and lower boundaries,136,3.57721982604551,2.83549055581781,2.45953575449516,2.19812508814424,5.97250214097828,2.58905156392649
QR_motioncap_brushless_Light_bot_NoWind_test3,bot,3,3,12,original_static,reference,Open-side locations,169,4.6470603533895,3.85840993634284,3.07048768034195,2.89619480091798,4.4133111365719,3.52117809562601
QR_motioncap_brushless_Light_bot_NoWind_test3,bot,3,3,12,attitude_absolute,reference,Open-side locations,169,3.9655523318474,3.15225143899075,3.07048768034195,2.89619480091798,4.4133111365719,3.10110139939454
QR_motioncap_brushless_Light_bot_NoWind_test3,bot,3,3,12,attitude_run_centered,reference,Open-side locations,169,3.97598565953544,3.15256927964464,3.07048768034195,2.89619480091798,4.4133111365719,3.11649415935386
QR_motioncap_brushless_Light_bot_NoWind_test3,bot,3,4,13,original_static,compared,Upper and lower boundaries,123,4.38917564088758,3.72973977041954,3.08363400258769,2.86034849793369,4.74073842160997,3.64985291597949
QR_motioncap_brushless_Light_bot_NoWind_test3,bot,3,4,13,attitude_absolute,compared,Upper and lower boundaries,123,3.7052641842809,3.10726663720415,3.08363400258769,2.86034849793369,4.74073842160997,2.8243641234998
QR_motioncap_brushless_Light_bot_NoWind_test3,bot,3,4,13,attitude_run_centered,compared,Upper and lower boundaries,123,3.74313986326293,3.10737077476969,3.08363400258769,2.86034849793369,4.74073842160997,2.87639336886504
QR_motioncap_brushless_Light_bot_NoWind_test3,bot,3,5,14,original_static,reference,Open-side locations,179,3.07467439107636,2.69628226261769,2.15186482195783,1.88053690101561,3.60611688784225,2.11949443407633
QR_motioncap_brushless_Light_bot_NoWind_test3,bot,3,5,14,attitude_absolute,reference,Open-side locations,179,2.51502829571944,2.04076404517522,2.15186482195783,1.88053690101561,3.60611688784225,1.57256976370578
QR_motioncap_brushless_Light_bot_NoWind_test3,bot,3,5,14,attitude_run_centered,reference,Open-side locations,179,2.54095185412667,2.04074834432853,2.15186482195783,1.88053690101561,3.60611688784225,1.60482793901516
QR_motioncap_brushless_Light_bot_NoWind_test4,bot,4,1,10,original_static,reference,Open-side locations,176,3.22449356350038,2.92818210831353,2.84804997157116,2.79283038346706,4.47913260798436,2.64934251695498
QR_motioncap_brushless_Light_bot_NoWind_test4,bot,4,1,10,attitude_absolute,reference,Open-side locations,176,3.37736782390771,3.11827943989416,2.84804997157116,2.79283038346706,4.47913260798436,2.08046426286705
QR_motioncap_brushless_Light_bot_NoWind_test4,bot,4,1,10,attitude_run_centered,reference,Open-side locations,176,3.3965299983872,3.11893206441541,2.84804997157116,2.79283038346706,4.47913260798436,2.0879377675041
QR_motioncap_brushless_Light_bot_NoWind_test4,bot,4,2,11,original_static,compared,Upper and lower boundaries,171,4.1694638775108,3.71533237126445,2.53145942095491,2.29475094017596,5.74237509791679,3.34327086400834
QR_motioncap_brushless_Light_bot_NoWind_test4,bot,4,2,11,attitude_absolute,compared,Upper and lower boundaries,171,3.12653537018816,2.48130012661372,2.53145942095491,2.29475094017596,5.74237509791679,2.30016260477147
QR_motioncap_brushless_Light_bot_NoWind_test4,bot,4,2,11,attitude_run_centered,compared,Upper and lower boundaries,171,3.15380508159431,2.48143368833523,2.53145942095491,2.29475094017596,5.74237509791679,2.2913361524726
QR_motioncap_brushless_Light_bot_NoWind_test4,bot,4,3,12,original_static,reference,Open-side locations,166,3.96252874150493,3.08231099343365,2.56501152152376,2.36341907441937,4.16515044116117,3.49139497431639
QR_motioncap_brushless_Light_bot_NoWind_test4,bot,4,3,12,attitude_absolute,reference,Open-side locations,166,3.57756462067662,2.71168323150775,2.56501152152376,2.36341907441937,4.16515044116117,3.1049083156664
QR_motioncap_brushless_Light_bot_NoWind_test4,bot,4,3,12,attitude_run_centered,reference,Open-side locations,166,3.63276328810882,2.71081110045799,2.56501152152376,2.36341907441937,4.16515044116117,3.15127791176732
QR_motioncap_brushless_Light_bot_NoWind_test4,bot,4,4,13,original_static,compared,Upper and lower boundaries,167,3.82743453471915,3.28131373650986,3.05630715899994,2.85655049084312,3.66343747051173,2.79567908548995
QR_motioncap_brushless_Light_bot_NoWind_test4,bot,4,4,13,attitude_absolute,compared,Upper and lower boundaries,167,3.57074724182654,3.1327972699821,3.05630715899994,2.85655049084312,3.66343747051173,2.68822591295004
QR_motioncap_brushless_Light_bot_NoWind_test4,bot,4,4,13,attitude_run_centered,compared,Upper and lower boundaries,167,3.65653431115002,3.13319363452066,3.05630715899994,2.85655049084312,3.66343747051173,2.7803632436652
QR_motioncap_brushless_Light_bot_NoWind_test4,bot,4,5,14,original_static,reference,Open-side locations,173,3.28385069355922,2.76185666575495,2.04350587717541,1.80925540646422,3.46802847971839,2.26501952030232
QR_motioncap_brushless_Light_bot_NoWind_test4,bot,4,5,14,attitude_absolute,reference,Open-side locations,173,2.65869753504879,1.90157913360629,2.04350587717541,1.80925540646422,3.46802847971839,2.05922207523794
