video_time_s,direct_clock_s,returned_clock_s,status
0.5,0.53,0.30,readable
1.0,1.00,0.78,readable
1.5,1.53,1.27,readable
2.0,2.03,1.80,readable
2.5,2.52,2.28,readable
3.0,3.02,2.78,readable
3.5,3.52,3.28,readable
4.0,4.02,3.77,readable
4.5,4.52,4.28,readable
5.0,5.02,4.78,readable
5.5,5.52,5.28,readable
6.0,6.02,5.78,readable
6.5,6.48,6.28,readable
7.0,7.03,6.78,readable
7.5,7.53,7.40,readable
8.0,8.00,7.77,readable
8.5,8.52,8.28,readable
9.0,9.02,8.78,readable
9.5,9.52,9.28,readable
10.0,10.02,9.75,readable
10.5,10.51,10.25,readable
11.0,11.00,10.75,readable
11.5,11.48,11.25,readable
12.0,12.00,11.77,readable
12.5,12.51,12.26,readable
13.0,13.02,12.74,readable
13.5,13.48,13.25,readable
14.0,14.02,13.77,readable
14.5,14.51,14.38,readable
15.0,15.00,14.75,readable
15.5,15.52,15.37,readable
16.0,16.02,15.88,readable
16.5,16.51,16.37,readable
17.0,17.02,16.88,readable
17.5,17.50,17.25,readable
18.0,18.01,17.88,readable
18.5,18.51,18.38,readable
19.0,19.00,18.73,readable
19.5,19.53,19.37,readable
20.0,20.01,19.88,readable
20.5,20.55,20.38,readable
21.0,21.01,20.88,readable
21.5,21.51,21.35,readable
22.0,22.00,21.87,readable
22.5,22.53,22.37,readable
23.0,23.00,22.86,readable
23.5,23.55,23.35,readable
24.0,24.01,23.85,readable
