video_time_s,direct_clock_s,returned_clock_s,status,display_lag_ms,frame_index,clock_pair_image
0.5,0.53,0.3,readable,230,15,Clock_Pairs/pair_00.5s.png
1.0,1.0,0.78,readable,220,30,Clock_Pairs/pair_01.0s.png
1.5,1.53,1.27,readable,260,45,Clock_Pairs/pair_01.5s.png
2.0,2.03,1.8,readable,230,60,Clock_Pairs/pair_02.0s.png
2.5,2.52,2.28,readable,240,75,Clock_Pairs/pair_02.5s.png
3.0,3.02,2.78,readable,240,90,Clock_Pairs/pair_03.0s.png
3.5,3.52,3.28,readable,240,105,Clock_Pairs/pair_03.5s.png
4.0,4.02,3.77,readable,250,120,Clock_Pairs/pair_04.0s.png
4.5,4.52,4.28,readable,240,135,Clock_Pairs/pair_04.5s.png
5.0,5.02,4.78,readable,240,150,Clock_Pairs/pair_05.0s.png
5.5,5.52,5.28,readable,240,165,Clock_Pairs/pair_05.5s.png
6.0,6.02,5.78,readable,240,180,Clock_Pairs/pair_06.0s.png
6.5,6.48,6.28,readable,200,195,Clock_Pairs/pair_06.5s.png
7.0,7.03,6.78,readable,250,210,Clock_Pairs/pair_07.0s.png
7.5,7.53,7.4,readable,130,225,Clock_Pairs/pair_07.5s.png
8.0,8.0,7.77,readable,230,240,Clock_Pairs/pair_08.0s.png
8.5,8.52,8.28,readable,240,255,Clock_Pairs/pair_08.5s.png
9.0,9.02,8.78,readable,240,270,Clock_Pairs/pair_09.0s.png
9.5,9.52,9.28,readable,240,285,Clock_Pairs/pair_09.5s.png
10.0,10.02,9.75,readable,270,300,Clock_Pairs/pair_10.0s.png
10.5,10.51,10.25,readable,260,315,Clock_Pairs/pair_10.5s.png
11.0,11.0,10.75,readable,250,330,Clock_Pairs/pair_11.0s.png
11.5,11.48,11.25,readable,230,345,Clock_Pairs/pair_11.5s.png
12.0,12.0,11.77,readable,230,360,Clock_Pairs/pair_12.0s.png
12.5,12.51,12.26,readable,250,375,Clock_Pairs/pair_12.5s.png
13.0,13.02,12.74,readable,280,390,Clock_Pairs/pair_13.0s.png
13.5,13.48,13.25,readable,230,405,Clock_Pairs/pair_13.5s.png
14.0,14.02,13.77,readable,250,420,Clock_Pairs/pair_14.0s.png
14.5,14.51,14.38,readable,130,435,Clock_Pairs/pair_14.5s.png
15.0,15.0,14.75,readable,250,450,Clock_Pairs/pair_15.0s.png
15.5,15.52,15.37,readable,150,465,Clock_Pairs/pair_15.5s.png
16.0,16.02,15.88,readable,140,480,Clock_Pairs/pair_16.0s.png
16.5,16.51,16.37,readable,140,495,Clock_Pairs/pair_16.5s.png
17.0,17.02,16.88,readable,140,510,Clock_Pairs/pair_17.0s.png
17.5,17.5,17.25,readable,250,525,Clock_Pairs/pair_17.5s.png
18.0,18.01,17.88,readable,130,540,Clock_Pairs/pair_18.0s.png
18.5,18.51,18.38,readable,130,555,Clock_Pairs/pair_18.5s.png
19.0,19.0,18.73,readable,270,570,Clock_Pairs/pair_19.0s.png
19.5,19.53,19.37,readable,160,585,Clock_Pairs/pair_19.5s.png
20.0,20.01,19.88,readable,130,600,Clock_Pairs/pair_20.0s.png
20.5,20.55,20.38,readable,170,615,Clock_Pairs/pair_20.5s.png
21.0,21.01,20.88,readable,130,630,Clock_Pairs/pair_21.0s.png
21.5,21.51,21.35,readable,160,645,Clock_Pairs/pair_21.5s.png
22.0,22.0,21.87,readable,130,660,Clock_Pairs/pair_22.0s.png
22.5,22.53,22.37,readable,160,675,Clock_Pairs/pair_22.5s.png
23.0,23.0,22.86,readable,140,690,Clock_Pairs/pair_23.0s.png
23.5,23.55,23.35,readable,200,705,Clock_Pairs/pair_23.5s.png
24.0,24.01,23.85,readable,160,720,Clock_Pairs/pair_24.0s.png
