extent_s,mode,route,metric,min_mean,max_mean,min_positive_flights,max_positive_flights,min_individual_difference
0.05,attitude_absolute,bot,kalman_pos_std_3d_cm,0.408975964395522,0.412477668455499,4,4,-0.10237783758811
0.05,attitude_absolute,bot,kt_rmse_3d_cm,0.42513426850518,0.427951458876139,4,4,-0.024156779769934
0.05,attitude_absolute,bot,rpy_std_deg,0.668959668147135,0.67059983237133,5,5,0.25687719684812
0.05,attitude_absolute,bot,visual_dispersion_3d_cm,0.399752829016219,0.435361081332488,5,5,0.100162025766326
0.05,attitude_absolute,bot,vk_rmse_3d_cm,0.377397201844975,0.394031389315568,5,5,0.0314848644465209
0.05,attitude_absolute,bot,vt_rmse_3d_cm,0.471459549846953,0.502034479810475,5,5,0.127983035193597
0.05,attitude_absolute,mid,kalman_pos_std_3d_cm,-0.509357655422127,-0.456311140077015,0,1,-0.870221896971507
0.05,attitude_absolute,mid,kt_rmse_3d_cm,-0.48718993257371,-0.43607390646078,0,1,-0.813065485570841
0.05,attitude_absolute,mid,rpy_std_deg,-1.73699652774323,-1.736411620151,0,0,-3.18401104449778
0.05,attitude_absolute,mid,visual_dispersion_3d_cm,-0.220540412462836,-0.201819009190894,1,2,-0.56508639729343
0.05,attitude_absolute,mid,vk_rmse_3d_cm,0.782319025334858,0.905891965958028,5,5,0.586228299140459
0.05,attitude_absolute,mid,vt_rmse_3d_cm,0.165352073037268,0.175510897217414,2,3,-0.165712774982405
0.05,attitude_absolute,top,kalman_pos_std_3d_cm,1.18267388453958,1.20721399563073,5,5,0.843337104042285
0.05,attitude_absolute,top,kt_rmse_3d_cm,0.878952131366442,0.903113278862044,5,5,0.587390503206724
0.05,attitude_absolute,top,rpy_std_deg,4.08700546761609,4.09366861140142,5,5,2.63271478862148
0.05,attitude_absolute,top,visual_dispersion_3d_cm,1.51303654282185,1.62392432047685,5,5,1.18238974798406
0.05,attitude_absolute,top,vk_rmse_3d_cm,0.885573502103591,1.08914847254363,5,5,0.76043285555887
0.05,attitude_absolute,top,vt_rmse_3d_cm,0.9672998071549,1.09969318339091,5,5,0.61927614684854
0.05,attitude_run_centered,bot,kalman_pos_std_3d_cm,0.408975964395522,0.412477668455499,4,4,-0.10237783758811
0.05,attitude_run_centered,bot,kt_rmse_3d_cm,0.42513426850518,0.427951458876139,4,4,-0.024156779769934
0.05,attitude_run_centered,bot,rpy_std_deg,0.668959668147135,0.67059983237133,5,5,0.25687719684812
0.05,attitude_run_centered,bot,visual_dispersion_3d_cm,0.39974237508196,0.435297499396993,5,5,0.100008291224821
0.05,attitude_run_centered,bot,vk_rmse_3d_cm,0.370082991131377,0.386796762127146,4,5,-0.000389738529262385
0.05,attitude_run_centered,bot,vt_rmse_3d_cm,0.467891475262773,0.498131178158495,5,5,0.11451283004597
0.05,attitude_run_centered,mid,kalman_pos_std_3d_cm,-0.509357655422127,-0.456311140077015,0,1,-0.870221896971507
0.05,attitude_run_centered,mid,kt_rmse_3d_cm,-0.48718993257371,-0.43607390646078,0,1,-0.813065485570841
0.05,attitude_run_centered,mid,rpy_std_deg,-1.73699652774323,-1.736411620151,0,0,-3.18401104449778
0.05,attitude_run_centered,mid,visual_dispersion_3d_cm,-0.220962035844158,-0.202123467916139,1,2,-0.565219929364311
0.05,attitude_run_centered,mid,vk_rmse_3d_cm,0.797775605724743,0.920568089879945,5,5,0.519562142649879
