shift_s,mode,metric,pooled_r,six_group_centered_r
-0.2,attitude_absolute,kalman_pos_std_3d_cm,0.909404236820526,0.881513935732675
-0.2,attitude_absolute,rpy_std_deg,0.676251897232603,0.567987778923767
-0.2,attitude_run_centered,kalman_pos_std_3d_cm,0.909405280068937,0.881529069849923
-0.2,attitude_run_centered,rpy_std_deg,0.676286658065479,0.568134709318993
-0.2,original_static,kalman_pos_std_3d_cm,0.703814612304422,0.607328162933988
-0.2,original_static,rpy_std_deg,0.923727202614641,0.814544766962136
-0.15,attitude_absolute,kalman_pos_std_3d_cm,0.91994260392842,0.901448113574204
-0.15,attitude_absolute,rpy_std_deg,0.651487775982881,0.539857457456853
-0.15,attitude_run_centered,kalman_pos_std_3d_cm,0.919945409630111,0.901468027147986
-0.15,attitude_run_centered,rpy_std_deg,0.651522391730195,0.54001859960725
-0.15,original_static,kalman_pos_std_3d_cm,0.708551213833303,0.61677610313292
-0.15,original_static,rpy_std_deg,0.923399192880287,0.813691681641618
-0.1,attitude_absolute,kalman_pos_std_3d_cm,0.927349187055679,0.913502065286896
-0.1,attitude_absolute,rpy_std_deg,0.638553174201538,0.516881990974149
-0.1,attitude_run_centered,kalman_pos_std_3d_cm,0.927354450237249,0.91352248370974
-0.1,attitude_run_centered,rpy_std_deg,0.638603581765613,0.517078897476456
-0.1,original_static,kalman_pos_std_3d_cm,0.713413879769916,0.625929362660195
-0.1,original_static,rpy_std_deg,0.923006616881759,0.812882375957552
-0.05,attitude_absolute,kalman_pos_std_3d_cm,0.932868166031327,0.921783948023075
-0.05,attitude_absolute,rpy_std_deg,0.639879050301597,0.502782953454582
-0.05,attitude_run_centered,kalman_pos_std_3d_cm,0.932880462891979,0.921808739987207
-0.05,attitude_run_centered,rpy_std_deg,0.639948239830671,0.503013990676208
-0.05,original_static,kalman_pos_std_3d_cm,0.717996143521324,0.634712742142532
-0.05,original_static,rpy_std_deg,0.922644897522401,0.812190170055848
0,attitude_absolute,kalman_pos_std_3d_cm,0.935903992500058,0.926509186270312
0,attitude_absolute,rpy_std_deg,0.65624980898046,0.49791181898598
0,attitude_run_centered,kalman_pos_std_3d_cm,0.935925830884593,0.926543100317081
0,attitude_run_centered,rpy_std_deg,0.656341926886309,0.498165970523048
0,original_static,kalman_pos_std_3d_cm,0.723497876409474,0.644913458303732
0,original_static,rpy_std_deg,0.922307802207057,0.811654610066825
0.05,attitude_absolute,kalman_pos_std_3d_cm,0.936856375405271,0.928708049952212
0.05,attitude_absolute,rpy_std_deg,0.683283936885716,0.501274582164032
0.05,attitude_run_centered,kalman_pos_std_3d_cm,0.936878337855481,0.928732495826605
0.05,attitude_run_centered,rpy_std_deg,0.683394712103688,0.501558420744142
0.05,original_static,kalman_pos_std_3d_cm,0.728451907168276,0.651675973425829
0.05,original_static,rpy_std_deg,0.921867482566609,0.810918262940828
0.1,attitude_absolute,kalman_pos_std_3d_cm,0.931976441306526,0.926373070632697
0.1,attitude_absolute,rpy_std_deg,0.715105837772287,0.510069947179008
0.1,attitude_run_centered,kalman_pos_std_3d_cm,0.931997120724048,0.926388566151008
0.1,attitude_run_centered,rpy_std_deg,0.715223130148561,0.51036143614601
0.1,original_static,kalman_pos_std_3d_cm,0.731408112977215,0.659073609213392
0.1,original_static,rpy_std_deg,0.921486649169746,0.810309377772763
0.15,attitude_absolute,kalman_pos_std_3d_cm,0.923114891704887,0.918434628037362
0.15,attitude_absolute,rpy_std_deg,0.746606058310662,0.523915759655071
0.15,attitude_run_centered,kalman_pos_std_3d_cm,0.923130097954033,0.91844243927021
0.15,attitude_run_centered,rpy_std_deg,0.746722047724288,0.524200770448402
0.15,original_static,kalman_pos_std_3d_cm,0.73649329447307,0.666135518552225
0.15,original_static,rpy_std_deg,0.920992155185248,0.809510524018337
0.2,attitude_absolute,kalman_pos_std_3d_cm,0.908796333938613,0.900512434246132
0.2,attitude_absolute,rpy_std_deg,0.775425368050289,0.54201421203167
0.2,attitude_run_centered,kalman_pos_std_3d_cm,0.908802889382877,0.900507659125349
0.2,attitude_run_centered,rpy_std_deg,0.775530984780261,0.542279096844683
0.2,original_static,kalman_pos_std_3d_cm,0.739629249611345,0.671520663029214
0.2,original_static,rpy_std_deg,0.92063106443614,0.809068458845456
