shift_s,mode,route,test,metric,difference
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,vt_rmse_3d_cm,0.846861988147269
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,vt_rmse_3d_cm,0.590582584960886
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,vt_rmse_3d_cm,0.344874906793386
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,vt_rmse_3d_cm,0.347421901670863
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test5,vt_rmse_3d_cm,0.580275926158236
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,visual_dispersion_3d_cm,0.33282183755589
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,visual_dispersion_3d_cm,0.687971782314241
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,visual_dispersion_3d_cm,0.205291699621829
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,visual_dispersion_3d_cm,0.458647120708183
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test5,visual_dispersion_3d_cm,0.745675943325553
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,vk_rmse_3d_cm,0.920129111468206
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,vk_rmse_3d_cm,0.346992528962264
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,vk_rmse_3d_cm,0.117503437496219
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,vk_rmse_3d_cm,0.0841002892729024
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test5,vk_rmse_3d_cm,0.490785695923938
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,kt_rmse_3d_cm,0.268026275055508
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,kt_rmse_3d_cm,0.663615666994075
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,kt_rmse_3d_cm,0.0358329741136059
-0.2,attitude_absolute,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,kt_rmse_3d_cm,0.296052067614021
