shift_s,mode,n_samples,pooled_vk_rmse_cm
-0.2,attitude_absolute,10679,3.4325609854367
-0.2,attitude_run_centered,10679,3.50529433251686
-0.2,original_static,10679,4.14023728796097
-0.15,attitude_absolute,10679,3.3505121621326
-0.15,attitude_run_centered,10679,3.42516525939667
-0.15,original_static,10679,4.09457613451771
-0.1,attitude_absolute,10679,3.3055522672948
-0.1,attitude_run_centered,10679,3.38147934876468
-0.1,original_static,10679,4.06464653102772
-0.05,attitude_absolute,10679,3.29940728869691
-0.05,attitude_run_centered,10679,3.37577547292283
-0.05,original_static,10679,4.05154264965629
0,attitude_absolute,10679,3.32965262003321
0,attitude_run_centered,10679,3.4056299296034
0,original_static,10679,4.05525953314902
0.05,attitude_absolute,10679,3.39882615084382
0.05,attitude_run_centered,10679,3.47361618638044
0.05,original_static,10679,4.07690288531437
0.1,attitude_absolute,10679,3.50817329943523
0.1,attitude_run_centered,10679,3.58101213559091
0.1,original_static,10679,4.11497259920786
0.15,attitude_absolute,10679,3.64770240777963
0.15,attitude_run_centered,10679,3.71803317369514
0.15,original_static,10679,4.16681278206588
0.2,attitude_absolute,10679,3.81826914130226
0.2,attitude_run_centered,10679,3.88581207957926
0.2,original_static,10679,4.2317428445911
