stage,flight_id,route,run,attitude_csv,position_csv,detection_csv,interpolation_support_csv
E3,QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,examples/E3/BOT/test1/QR_motioncap_brushless_Light_bot_att_NoWind_test1.csv,examples/E3/BOT/test1/QR_motioncap_brushless_Light_bot_pos_NoWind_test1.csv,examples/E3/BOT/test1/QR_motioncap_brushless_Light_bot_det_NoWind_test1.csv,examples/interpolation_support/QR_motioncap_brushless_Light_bot_NoWind_test1.csv
E3,QR_motioncap_brushless_Light_bot_NoWind_test2,bot,2,examples/E3/BOT/test2/QR_motioncap_brushless_Light_bot_att_NoWind_test2.csv,examples/E3/BOT/test2/QR_motioncap_brushless_Light_bot_pos_NoWind_test2.csv,examples/E3/BOT/test2/QR_motioncap_brushless_Light_bot_det_NoWind_test2.csv,examples/interpolation_support/QR_motioncap_brushless_Light_bot_NoWind_test2.csv
E3,QR_motioncap_brushless_Light_mid_NoWind_test1,mid,1,examples/E3/MID/test1/QR_motioncap_brushless_Light_mid_att_NoWind_test1.csv,examples/E3/MID/test1/QR_motioncap_brushless_Light_mid_pos_NoWind_test1.csv,examples/E3/MID/test1/QR_motioncap_brushless_Light_mid_det_NoWind_test1.csv,examples/interpolation_support/QR_motioncap_brushless_Light_mid_NoWind_test1.csv
E3,QR_motioncap_brushless_Light_mid_NoWind_test2,mid,2,examples/E3/MID/test2/QR_motioncap_brushless_Light_mid_att_NoWind_test2.csv,examples/E3/MID/test2/QR_motioncap_brushless_Light_mid_pos_NoWind_test2.csv,examples/E3/MID/test2/QR_motioncap_brushless_Light_mid_det_NoWind_test2.csv,examples/interpolation_support/QR_motioncap_brushless_Light_mid_NoWind_test2.csv
E3,QR_motioncap_brushless_Light_top_NoWind_test1,top,1,examples/E3/TOP/test1/QR_motioncap_brushless_Light_top_att_NoWind_test1.csv,examples/E3/TOP/test1/QR_motioncap_brushless_Light_top_pos_NoWind_test1.csv,examples/E3/TOP/test1/QR_motioncap_brushless_Light_top_det_NoWind_test1.csv,examples/interpolation_support/QR_motioncap_brushless_Light_top_NoWind_test1.csv
E3,QR_motioncap_brushless_Light_top_NoWind_test2,top,2,examples/E3/TOP/test2/QR_motioncap_brushless_Light_top_att_NoWind_test2.csv,examples/E3/TOP/test2/QR_motioncap_brushless_Light_top_pos_NoWind_test2.csv,examples/E3/TOP/test2/QR_motioncap_brushless_Light_top_det_NoWind_test2.csv,examples/interpolation_support/QR_motioncap_brushless_Light_top_NoWind_test2.csv
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,,,examples/E1_fixed_1p2/QR_hover_Light_1p2_0p1_att_NoWind_test10.csv,examples/E1_fixed_1p2/QR_hover_Light_1p2_0p1_pos_NoWind_test10.csv,examples/E1_fixed_1p2/QR_hover_Light_1p2_0p1_det_NoWind_test10_convert_new_fix.csv,
E1_fixed_1p5,E1_fixed_1p5|QR_hover_Light_1p5_0p15_NoWind_test1,,,examples/E1_fixed_1p5/QR_hover_Light_1p5_0p15_att_NoWind_test1.csv,examples/E1_fixed_1p5/QR_hover_Light_1p5_0p15_pos_NoWind_test1.csv,examples/E1_fixed_1p5/QR_hover_Light_1p5_0p15_det_NoWind_test1_convert_new_fix.csv,
E2_horizontal,E2_horizontal|QR_dynamic_hor_Light_0p3_0p05_NoWind_test1,,,examples/E2_horizontal/QR_dynamic_hor_Light_0p3_0p05_att_NoWind_test1.csv,examples/E2_horizontal/QR_dynamic_hor_Light_0p3_0p05_pos_NoWind_test1.csv,examples/E2_horizontal/QR_dynamic_hor_Light_0p3_0p05_det_NoWind_test1.csv,
E2_vertical,E2_vertical|dynamicperf_v3_2|QR_dynamic_Dim_1p2_0p05_NoWind_test1,,,examples/E2_vertical/QR_dynamic_Dim_1p2_0p05_att_NoWind_test1.csv,examples/E2_vertical/QR_dynamic_Dim_1p2_0p05_pos_NoWind_test1.csv,examples/E2_vertical/QR_dynamic_Dim_1p2_0p05_det_NoWind_test1.csv,
